endDate,value_alex,value_james
2016-08-25,12,
2016-08-26,14,
2016-08-27,10,
2016-08-28,8,
2016-08-29,13,
2016-08-30,13,
2016-08-31,10,
2016-09-01,14,
2016-09-02,16,
2016-09-03,9,
2016-09-04,14,
2016-09-05,10,
2016-09-06,13,
2016-09-07,14,
2016-09-08,15,
2016-09-09,20,
2016-09-10,6,
2016-09-11,6,
2016-09-12,14,
2016-09-13,12,
2016-09-14,14,
2016-09-15,17,
2016-09-16,15,
2016-09-17,16,
2016-09-18,10,
2016-09-19,16,
2016-09-20,16,
2016-09-21,16,
2016-09-22,15,
2016-09-23,17,
2016-09-24,10,
2016-09-25,9,
2016-09-26,16,
2016-09-27,14,
2016-09-28,17,
2016-09-29,16,
2016-09-30,16,
2016-10-01,13,
2016-10-02,13,
2016-10-03,15,
2016-10-04,16,
2016-10-05,14,
2016-10-06,12,
2016-10-07,14,
2016-10-08,16,
2016-10-09,11,
2016-10-10,13,
2016-10-11,17,
2016-10-12,15,
2016-10-13,14,
2016-10-14,17,
2016-10-15,12,
2016-10-16,7,
2016-10-17,15,
2016-10-18,16,
2016-10-19,14,
2016-10-20,12,
2016-10-21,17,
2016-10-22,12,
2016-10-23,13,
2016-10-24,14,
2016-10-25,13,
2016-10-26,14,
2016-10-27,12,
2016-10-28,15,
2016-10-29,14,
2016-10-30,13,
2016-10-31,15,
2016-11-01,12,
2016-11-02,13,
2016-11-03,13,
2016-11-04,7,
2016-11-05,7,
2016-11-06,13,
2016-11-07,14,
2016-11-08,16,
2016-11-09,15,
2016-11-10,15,
2016-11-11,16,
2016-11-12,7,
2016-11-13,10,
2016-11-14,16,
2016-11-15,13,
2016-11-16,14,
2016-11-17,15,
2016-11-18,16,
2016-11-19,13,
2016-11-20,10,
2016-11-21,16,
2016-11-22,14,
2016-11-23,11,
2016-11-24,12,
2016-11-25,13,
2016-11-26,13,
2016-11-27,10,
2016-11-28,15,
2016-11-29,14,
2016-11-30,15,
2016-12-01,15,
2016-12-02,16,
2016-12-03,16,
2016-12-04,12,
2016-12-05,14,
2016-12-06,15,
2016-12-07,16,
2016-12-08,14,
2016-12-09,16,
2016-12-10,13,
2016-12-11,11,
2016-12-12,17,
2016-12-13,11,
2016-12-14,1,
2016-12-15,15,
2016-12-16,17,
2016-12-17,15,
2016-12-18,15,
2016-12-19,16,
2016-12-20,12,
2016-12-21,15,
2016-12-22,9,
2016-12-23,8,
2016-12-24,12,
2016-12-25,13,
2016-12-26,15,
2016-12-27,13,
2016-12-28,9,
2016-12-29,11,
2016-12-30,13,
2016-12-31,14,
2017-01-01,12,
2017-01-02,6,
2017-01-03,14,
2017-01-04,18,
2017-01-05,18,
2017-01-06,16,
2017-01-07,15,
2017-01-08,10,
2017-01-09,18,
2017-01-10,11,
2017-01-11,14,
2017-01-12,16,
2017-01-13,14,
2017-01-14,11,
2017-01-15,14,
2017-01-16,9,
2017-01-17,15,
2017-01-18,14,
2017-01-19,16,
2017-01-20,15,
2017-01-21,14,
2017-01-22,15,
2017-01-23,13,
2017-01-24,15,
2017-01-25,15,
2017-01-26,13,
2017-01-27,14,
2017-01-28,10,
2017-01-29,11,
2017-01-30,14,
2017-01-31,16,
2017-02-01,16,
2017-02-02,14,
2017-02-03,15,
2017-02-04,14,
2017-02-05,16,
2017-02-06,16,
2017-02-07,13,
2017-02-08,14,
2017-02-09,15,
2017-02-10,13,
2017-02-11,11,
2017-02-12,8,
2017-02-13,17,
2017-02-14,13,
2017-02-15,16,
2017-02-16,16,
2017-02-17,11,
2017-02-18,12,
2017-02-19,12,
2017-02-20,16,
2017-02-21,13,
2017-02-22,16,
2017-02-23,17,
2017-02-24,10,
2017-02-25,8,
2017-02-26,18,
2017-02-27,17,
2017-02-28,13,
2017-03-01,14,
2017-03-02,12,
2017-03-03,15,
2017-03-04,15,
2017-03-05,13,
2017-03-06,15,
2017-03-07,15,
2017-03-08,12,
2017-03-09,12,
2017-03-10,14,
2017-03-17,15,
2017-03-18,13,
2017-03-19,12,
2017-03-20,12,
2017-03-21,13,
2017-03-22,15,
2017-03-23,17,
2017-03-24,14,
2017-03-25,11,
2017-03-26,13,
2017-03-27,15,
2017-03-28,14,
2017-03-29,18,
2017-03-30,13,
2017-03-31,14,
