endDate,stand_alex,stand_james,exercise_alex,exercise_james,activeEnergy_alex,activeEnergy_james
2016-01-27,15.0,,37.0,,413.2699999999994,
2016-01-28,15.0,,23.0,,413.61,
2016-01-29,17.0,,40.0,,540.9149999999995,
2016-01-30,13.0,,31.0,,399.46999999999946,
2016-01-31,20.0,,29.0,,520.0979999999997,
2016-02-01,16.0,,25.0,,381.27999999999946,
2016-02-02,14.0,,30.0,,396.06900000000036,
2016-02-03,15.0,,30.0,,455.7240000000006,
2016-02-04,13.0,,52.0,,694.7060000000008,
2016-02-05,17.0,,37.0,,563.4009999999993,
2016-02-06,17.0,,19.0,,400.26199999999926,
2016-02-07,19.0,,56.0,,590.5690000000013,
2016-02-08,16.0,,37.0,,481.1939999999997,
2016-02-09,13.0,,20.0,,372.3149999999995,
2016-02-10,16.0,,15.0,,352.0749999999999,
2016-02-11,17.0,,34.0,,431.47499999999985,
2016-02-12,13.0,,48.0,,623.6379999999998,
2016-02-13,18.0,,25.0,,427.47100000000006,
2016-02-14,15.0,,46.0,,539.3639999999989,
2016-02-15,17.0,,51.0,,509.4709999999994,
2016-02-16,16.0,,42.0,,483.77299999999946,
2016-02-17,15.0,,21.0,,416.836000000001,
2016-02-18,14.0,,27.0,,454.01800000000077,
2016-02-19,17.0,,40.0,,500.2060000000008,
2016-02-20,15.0,,65.0,,682.2259999999999,
2016-02-21,15.0,,58.0,,569.3669999999979,
2016-02-22,15.0,,37.0,,440.88200000000063,
2016-02-23,16.0,,37.0,,480.14599999999916,
2016-02-24,15.0,,39.0,,418.4560000000008,
2016-02-25,17.0,,39.0,,474.99499999999983,
2016-02-26,16.0,,79.0,,631.7390000000005,
2016-02-27,14.0,,97.0,,760.335,
2016-02-28,14.0,,57.0,,578.6070000000002,
2016-02-29,18.0,,44.0,,502.6979999999994,
2016-03-01,15.0,,31.0,,438.7680000000012,
2016-03-02,17.0,,52.0,,550.0180000000007,
2016-03-03,17.0,,48.0,,643.1969999999985,
2016-03-04,13.0,,57.0,,675.7080000000002,
2016-03-05,7.0,,21.0,,305.6080000000003,
2016-03-06,14.0,,113.0,,869.1869999999997,
2016-03-07,18.0,,136.0,,1070.5729999999992,
2016-03-08,13.0,,106.0,,765.5029999999983,
2016-03-09,12.0,,57.0,,612.6299999999967,
2016-03-10,15.0,,92.0,,793.6340000000009,
2016-03-11,14.0,,102.0,,896.7030000000009,
2016-03-12,18.0,,109.0,,883.6600000000009,
2016-03-13,16.0,,101.0,,801.8589999999944,
2016-03-14,8.0,,11.0,,232.04499999999985,
2016-03-15,17.0,,25.0,,438.3899999999999,
2016-03-16,11.0,,17.0,,271.6970000000005,
2016-03-17,13.0,,22.0,,318.45100000000036,
2016-03-18,18.0,,70.0,,701.3210000000007,
2016-03-19,16.0,,97.0,,756.7659999999997,
2016-03-20,14.0,,49.0,,536.2299999999987,
2016-03-21,16.0,,34.0,,406.55600000000015,
2016-03-22,13.0,,24.0,,419.132,
2016-03-23,15.0,,28.0,,335.3489999999996,
2016-03-24,12.0,,38.0,,443.0089999999996,
2016-03-25,16.0,,82.0,,620.1640000000002,
2016-03-26,13.0,,59.0,,533.849,
2016-03-27,13.0,,76.0,,629.694,
2016-03-28,16.0,,29.0,,393.1350000000004,
2016-03-29,12.0,,21.0,,341.8230000000008,
2016-03-30,15.0,,54.0,,516.4100000000002,
2016-03-31,12.0,,18.0,,357.36200000000053,
2016-04-01,17.0,,120.0,,795.1029999999981,
2016-04-02,14.0,,18.0,,382.10000000000076,
2016-04-03,14.0,,16.0,,298.0210000000006,
2016-04-04,15.0,,67.0,,615.1750000000009,
2016-04-05,14.0,,30.0,,427.8529999999994,
2016-04-06,12.0,,14.0,,299.8699999999997,
2016-04-07,13.0,,18.0,,321.9619999999996,
2016-04-08,15.0,,47.0,,458.48899999999986,
2016-04-09,9.0,,30.0,,272.83799999999985,
2016-04-10,10.0,,22.0,,255.34299999999985,
2016-04-11,15.0,,52.0,,481.1140000000004,
2016-04-12,16.0,,35.0,,418.90599999999984,
2016-04-13,17.0,,54.0,,486.4309999999999,
2016-04-14,16.0,,36.0,,451.3099999999997,
2016-04-15,14.0,,75.0,,661.454,
2016-04-16,15.0,,75.0,,590.5069999999997,
2016-04-17,14.0,,146.0,,1338.0400000000004,
2016-04-18,16.0,,32.0,,444.9680000000012,
2016-04-19,12.0,,24.0,,366.11900000000077,
2016-04-20,16.0,,27.0,,380.89000000000055,
2016-04-21,17.0,,26.0,,446.199,
2016-04-22,12.0,,71.0,,624.575,
2016-04-23,15.0,,124.0,,931.1289999999997,
2016-04-24,9.0,,28.0,,295.6669999999993,
2016-04-25,15.0,,97.0,,1111.8290000000004,
2016-04-26,15.0,,26.0,,375.409999999999,
2016-04-27,14.0,,60.0,,580.6190000000007,
2016-04-28,15.0,,15.0,,326.4979999999999,
2016-04-29,13.0,,43.0,,436.952,
2016-04-30,10.0,,109.0,,682.0579999999998,
2016-05-01,13.0,,74.0,,1542.6649999999975,
2016-05-02,16.0,,41.0,,512.441,
2016-05-03,17.0,,85.0,,718.1909999999997,
2016-05-04,16.0,,30.0,,452.2959999999998,
2016-05-05,14.0,,41.0,,515.0470000000005,
2016-05-06,16.0,,81.0,,666.949,
2016-05-07,12.0,,28.0,,465.7110000000001,
2016-05-08,11.0,,11.0,,316.089,
2016-05-09,15.0,,20.0,,358.1110000000004,
2016-05-10,17.0,,73.0,,615.5760000000008,
2016-05-11,13.0,,37.0,,1413.5309999999995,
2016-05-12,15.0,,20.0,,310.21099999999933,
2016-05-13,17.0,,62.0,,680.6310000000004,
2016-05-14,15.0,,27.0,,446.5519999999994,
2016-05-15,13.0,,32.0,,332.0759999999996,
2016-05-16,14.0,,26.0,,373.95999999999947,
2016-05-17,17.0,,22.0,,323.61299999999915,
2016-05-18,14.0,,35.0,,434.92100000000005,
2016-05-19,16.0,,36.0,,1007.0399999999997,
2016-05-20,17.0,,66.0,,611.5750000000003,
2016-05-21,13.0,,81.0,,611.2050000000012,
2016-05-22,13.0,,76.0,,567.0570000000001,
2016-05-23,13.0,,89.0,,1047.8969999999993,
2016-05-24,14.0,,9.0,,311.62999999999937,
2016-05-25,11.0,,9.0,,337.0599999999985,
2016-05-26,14.0,,36.0,,497.4579999999997,
2016-05-27,9.0,,21.0,,304.36099999999936,
2016-05-28,8.0,,42.0,,353.66499999999945,
2016-05-29,13.0,,80.0,,675.4060000000012,
2016-05-30,13.0,,48.0,,489.194999999999,
2016-05-31,15.0,,24.0,,402.0579999999997,
2016-06-01,18.0,,26.0,,464.1259999999994,
2016-06-02,16.0,,30.0,,407.6809999999993,
2016-06-03,15.0,,66.0,,704.9510000000008,
2016-06-04,12.0,,99.0,,741.4850000000008,
2016-06-05,12.0,,18.0,,340.17599999999925,
2016-06-06,16.0,,39.0,,379.10799999999927,
2016-06-07,17.0,,73.0,,710.8439999999997,
2016-06-08,16.0,,14.0,,327.70899999999995,
2016-06-09,14.0,,69.0,,606.2400000000004,
2016-06-10,15.0,,32.0,,453.7709999999989,
2016-06-11,3.0,,4.0,,42.27900000000001,
2016-06-12,8.0,,43.0,,365.91599999999977,
2016-06-13,17.0,,44.0,,469.01000000000016,
2016-06-14,16.0,,20.0,,498.6259999999994,
2016-06-15,18.0,,48.0,,530.6249999999997,
2016-06-16,16.0,,43.0,,609.4799999999993,
2016-06-17,13.0,,38.0,,358.56599999999975,
2016-06-18,8.0,,19.0,,266.72999999999973,
2016-06-19,9.0,,3.0,,175.8769999999998,
2016-06-20,16.0,,25.0,,375.48700000000014,
2016-06-21,14.0,,17.0,,311.0989999999999,
2016-06-22,15.0,,97.0,,696.1560000000003,
2016-06-23,16.0,,24.0,,426.3909999999997,
2016-06-24,14.0,,48.0,,528.4689999999994,
2016-06-25,8.0,,34.0,,382.85499999999985,
2016-06-26,10.0,,11.0,,221.26399999999919,
2016-06-27,15.0,,47.0,,474.6279999999999,
2016-06-28,13.0,,23.0,,371.20600000000013,
2016-06-29,18.0,,47.0,,559.3180000000001,
2016-06-30,14.0,,38.0,,466.8219999999994,
2016-07-01,16.0,,40.0,,591.2709999999997,
2016-07-02,10.0,,8.0,,295.5189999999992,
2016-07-03,14.0,,31.0,,364.6669999999988,
2016-07-04,5.0,,2.0,,87.49700000000001,
2016-07-05,12.0,,16.0,,318.5319999999995,
2016-07-06,18.0,,37.0,,566.7230000000002,
2016-07-07,16.0,,57.0,,570.6439999999999,
2016-07-08,14.0,,55.0,,606.2749999999986,
2016-07-09,15.0,,33.0,,424.1969999999993,
2016-07-10,13.0,,34.0,,391.1839999999984,
2016-07-11,13.0,,33.0,,365.6859999999997,
2016-07-12,16.0,,53.0,,534.1149999999993,
2016-07-13,13.0,,23.0,,395.0289999999998,
2016-07-14,16.0,,36.0,,465.8039999999994,
2016-07-15,17.0,,18.0,,480.6850000000002,
2016-07-16,10.0,,100.0,,637.5619999999992,
2016-07-17,9.0,,19.0,,283.1289999999988,
2016-07-18,17.0,,34.0,,477.8239999999994,
2016-07-19,17.0,,26.0,,469.61300000000006,
2016-07-20,17.0,,97.0,,1031.1230000000003,
2016-07-21,18.0,,34.0,,507.7619999999996,
2016-07-22,20.0,,76.0,,759.5059999999997,
2016-07-23,11.0,,14.0,,407.6239999999987,
2016-07-24,11.0,,19.0,,256.06600000000003,
2016-07-25,15.0,,43.0,,415.8939999999995,
2016-07-26,16.0,,14.0,,421.25199999999967,
2016-07-27,15.0,,14.0,,358.2129999999996,
2016-07-28,15.0,,29.0,,446.6499999999984,
2016-07-29,16.0,,43.0,,575.3699999999992,
2016-07-30,10.0,,17.0,,193.62499999999986,
2016-07-31,11.0,,34.0,,319.23,
2016-08-01,14.0,,54.0,,482.2199999999997,
2016-08-02,12.0,,13.0,,302.79699999999923,
2016-08-03,16.0,,40.0,,565.7519999999996,
2016-08-04,15.0,,57.0,,461.61099999999885,
2016-08-05,17.0,,59.0,,602.9279999999992,
2016-08-06,15.0,,80.0,,695.8689999999992,
2016-08-07,13.0,,20.0,,243.23899999999983,
2016-08-08,13.0,,52.0,,490.85199999999895,
2016-08-09,12.0,,39.0,,524.0609999999995,
2016-08-10,14.0,,29.0,,494.75899999999865,
2016-08-11,16.0,,69.0,,598.3380000000012,
2016-08-12,14.0,,99.0,,639.7369999999999,
2016-08-13,16.0,,60.0,,631.8420000000018,
2016-08-14,13.0,,13.0,,353.4819999999993,
2016-08-15,15.0,,42.0,,469.70899999999915,
2016-08-16,15.0,,9.0,,320.0769999999992,
2016-08-17,14.0,,12.0,,367.45299999999975,
2016-08-18,16.0,,38.0,,481.1319999999993,
2016-08-19,18.0,,93.0,,871.4769999999997,
2016-08-20,14.0,,105.0,,832.7990000000004,
2016-08-21,16.0,,65.0,,587.3759999999992,
2016-08-22,15.0,,10.0,,320.90599999999944,
2016-08-23,13.0,,16.0,,385.65899999999925,
2016-08-24,13.0,,4.0,,260.29599999999937,
2016-08-25,12.0,,21.0,,360.50299999999913,
2016-08-26,14.0,,43.0,,547.6409999999996,
2016-08-27,10.0,,13.0,,309.3069999999994,
2016-08-28,8.0,,22.0,,285.96799999999934,
2016-08-29,13.0,,75.0,,640.9669999999994,
2016-08-30,13.0,,58.0,,510.82499999999845,
2016-08-31,10.0,,8.0,,287.02499999999964,
2016-09-01,14.0,,14.0,,374.98599999999885,
2016-09-02,16.0,,26.0,,506.7989999999994,
2016-09-03,9.0,,3.0,,195.70299999999975,
2016-09-04,14.0,,58.0,,566.0219999999989,
2016-09-05,10.0,,13.0,,310.6259999999985,
2016-09-06,13.0,,9.0,,294.42099999999937,
2016-09-07,14.0,,59.0,,536.7019999999993,
2016-09-08,15.0,,23.0,,391.2149999999993,
